Fighter_Id,Full Name,Nickname,Ht.,Wt.,Stance,W,L,D,Belt,Round,Avg Fight Time,KD,STR,TD,SUB,Ctrl,Sig. Str. %,Head_%,Body_%,Leg_%,Distance_%,Clinch_%,Ground_%,Sub. Att,Weight_Class,Gender,DEC Count,KO Rate,SUB Rate,DEC Rate,Fighting Style,Total_Fights,Win_Rate
71505842fb6455c3,Dustin Stoltzfus,No Nickname,6.0,185.0,Orthodox,16,8,0,0,2.3,622.0,0.0,31.7,0.4,0.5,73.7,0.43,0.35,0.74,0.57,0.34,0.78,0.36,0.5,Middleweight,Male,1.0,0.0,0.5,0.5,Hybrid,24,0.6666666666666666
62f7097c04311193,Niklas Stolze,Green Mask,6.1,155.0,Switch,12,6,0,0,2.0,453.33,0.33,17.33,1.67,0.67,128.67,0.6,0.59,0.39,0.87,0.57,0.44,0.72,0.67,Lightweight,Male,0.0,0.5,0.5,0.0,Striker,18,0.6666666666666666
fbf0947399d14323,Ken Stone,No Nickname,5.8,135.0,Southpaw,11,4,0,0,1.5,329.5,0.25,24.25,0.5,0.25,115.5,0.58,0.4,0.75,0.89,0.46,0.67,0.5,0.25,Bantamweight,Male,1.0,0.33,0.33,0.33,Striker,15,0.7333333333333333
5b5307450405abf0,Rick Story,The Horror,5.9,170.0,Southpaw,19,9,0,0,2.68,749.11,0.21,32.26,1.95,0.95,174.63,0.42,0.32,0.75,0.66,0.36,0.61,0.37,0.95,Welterweight,Male,3.0,0.29,0.29,0.43,Wrestler,28,0.6785714285714286
025f0b1b58fbad01,Darko Stosic,No Nickname,6.0,205.0,Orthodox,13,4,0,0,2.5,723.25,0.0,31.25,2.0,0.0,77.5,0.38,0.29,0.39,0.86,0.35,0.2,0.62,0.0,Light Heavyweight,Male,2.0,0.0,0.0,1.0,Hybrid,17,0.7647058823529411
501b07aec9b8fc2d,Sam Stout,Hands of Stone,5.9,155.0,Orthodox,20,12,1,0,2.55,715.1,0.2,51.85,0.65,0.1,86.2,0.36,0.28,0.62,0.77,0.33,0.59,0.28,0.1,Lightweight,Male,10.0,0.15,0.08,0.77,Hybrid,33,0.6060606060606061
980b4e712489098e,Dave Strasser,No Nickname,5.1,170.0,Orthodox,25,8,0,0,2.0,566.0,0.0,31.0,0.5,0.0,148.0,0.33,0.28,0.58,0.5,0.28,0.3,0.34,0.0,Welterweight,Male,1.0,0.0,0.0,1.0,Hybrid,33,0.7575757575757576
0d8011111be000b2,Sean Strickland,No Nickname,6.1,185.0,Orthodox,29,7,0,0,3.3,963.3,0.09,80.17,0.61,0.0,41.65,0.4,0.3,0.61,0.74,0.4,0.41,0.13,0.0,Middleweight,Male,6.0,0.25,0.0,0.75,Hybrid,36,0.8055555555555556
ebc1f40e00e0c481,Stefan Struve,Skyscraper,6.11,265.0,Orthodox,33,13,0,0,1.92,468.83,0.25,25.62,0.67,0.71,97.29,0.45,0.31,0.5,0.59,0.4,0.32,0.39,0.71,Heavyweight,Male,4.0,0.47,0.29,0.24,Wrestler,46,0.717391304347826
c0c36a5b3d5bbdd5,Mike Stumpf,No Nickname,5.1,170.0,Orthodox,11,4,0,0,2.0,566.0,0.0,81.5,0.5,1.0,124.5,0.26,0.22,0.36,0.5,0.24,0.34,0.5,1.0,Welterweight,Male,1.0,0.0,0.0,1.0,Wrestler,15,0.7333333333333333
b08012bbe542592a,Tatiana Suarez,No Nickname,5.5,115.0,Southpaw,12,1,0,0,2.56,702.44,0.0,25.22,1.89,0.22,302.44,0.59,0.34,0.74,0.53,0.32,0.71,0.38,0.22,Women's Strawweight,Female,3.0,0.0,0.4,0.6,Striker,13,0.9230769230769231
99dd0147dc4ef80c,Genki Sudo,Neo-Samurai,5.9,155.0,Orthodox,15,4,2,0,2.0,503.0,0.0,13.0,2.0,2.33,210.0,0.48,0.23,0.46,0.62,0.2,0.25,0.34,2.33,Lightweight,Male,0.0,0.0,1.0,0.0,Wrestler,21,0.7142857142857143
6c7e25571490aa3b,George Sullivan,The Silencer,6.0,170.0,Orthodox,17,7,0,0,2.14,563.0,0.29,29.57,1.57,0.57,130.57,0.47,0.31,0.53,0.71,0.34,0.7,0.39,0.57,Welterweight,Male,2.0,0.25,0.25,0.5,Striker,24,0.7083333333333334
3cf18e01cb6cbde3,Sumudaerji,The Tibetan Eagle,5.8,125.0,Southpaw,18,7,0,0,2.33,641.89,0.22,49.44,0.33,0.33,86.33,0.51,0.43,0.56,0.71,0.46,0.53,0.23,0.33,Flyweight,Male,4.0,0.17,0.17,0.67,Striker,25,0.72
d1feea7a4bdcd503,Baisangur Susurkaev,Hunter,6.2,185.0,Orthodox,11,0,0,0,2.5,559.5,0.5,44.5,2.0,0.5,196.0,0.59,0.44,0.8,1.0,0.54,0.8,0.36,0.5,Middleweight,Male,0.0,0.5,0.5,0.0,Striker,11,1.0
d247691a6c0e9034,Cub Swanson,No Nickname,5.8,145.0,Orthodox,30,14,0,0,2.68,735.56,0.48,64.04,0.8,0.32,84.84,0.49,0.44,0.74,0.74,0.46,0.67,0.43,0.32,Featherweight,Male,10.0,0.33,0.19,0.48,Striker,44,0.6818181818181818
9fe85152f351e737,Mike Swick,Quick,6.1,170.0,Orthodox,15,6,0,0,2.07,501.0,0.33,20.53,0.93,0.47,125.93,0.45,0.34,0.45,0.53,0.34,0.52,0.44,0.47,Welterweight,Male,4.0,0.5,0.17,0.33,Hybrid,21,0.7142857142857143
46e2011d92463b7e,Oumar Sy,No Nickname,6.4,205.0,Orthodox,12,1,0,0,2.0,576.25,0.0,35.25,1.75,0.25,213.25,0.34,0.26,0.36,0.61,0.32,0.22,0.1,0.25,Light Heavyweight,Male,1.0,0.33,0.33,0.33,Hybrid,13,0.9230769230769231
abd2109bc4cb0291,Bentley Syler,Bolivia,5.4,125.0,Orthodox,5,1,0,0,3.0,694.0,1.0,20.0,2.0,0.0,42.0,0.2,0.18,0.33,0.5,0.2,0.2,0.0,0.0,Flyweight,Male,0.0,1.0,0.0,0.0,Hybrid,6,0.8333333333333334
2a542ee8a8b83559,Tim Sylvia,The Maine-iac,6.8,265.0,Orthodox,31,10,0,0,2.46,634.85,0.38,45.0,0.08,0.08,102.54,0.41,0.35,0.69,0.57,0.34,0.44,0.46,0.08,Heavyweight,Male,4.0,0.56,0.0,0.44,Hybrid,41,0.7560975609756098
e13abac8089a801a,Justin Tafa,Bad Man,6.0,264.0,Southpaw,7,5,0,0,1.6,327.4,0.5,27.1,0.0,0.0,23.0,0.52,0.47,0.66,0.32,0.47,0.4,0.35,0.0,Heavyweight,Male,1.0,0.83,0.0,0.17,Hybrid,12,0.5833333333333334
c15fa95b9a12fde4,Junior Tafa,The Juggernaut,6.3,205.0,Orthodox,6,4,0,0,1.83,442.33,0.17,21.17,1.17,0.33,118.5,0.57,0.53,0.54,0.5,0.54,0.22,0.42,0.33,Heavyweight,Male,0.0,0.5,0.5,0.0,Hybrid,10,0.6
b4537562f88ac582,Khalid Taha,The Warrior,5.5,135.0,Orthodox,13,5,0,0,2.33,616.67,0.17,33.5,2.0,0.17,208.17,0.44,0.36,0.29,0.67,0.3,0.4,0.51,0.17,Bantamweight,Male,2.0,0.33,0.0,0.67,Hybrid,18,0.7222222222222222
4461d7e47375a895,Tatsuro Taira,The Best,5.7,125.0,Orthodox,18,1,0,0,2.44,640.33,0.33,30.33,2.0,1.22,319.67,0.66,0.62,0.57,0.84,0.51,0.28,0.73,1.22,Flyweight,Male,2.0,0.17,0.5,0.33,Wrestler,19,0.9473684210526315
8f5c8850b2484173,Mairbek Taisumov,Beckan,5.9,155.0,Orthodox,27,6,0,0,2.11,521.89,0.44,32.33,0.78,0.0,46.22,0.47,0.41,0.45,0.89,0.46,0.4,0.32,0.0,Lightweight,Male,3.0,0.62,0.0,0.38,Hybrid,33,0.8181818181818182
7498b3ac79a3b948,Taiyilake Nueraji,Super Saiyan,6.2,170.0,Southpaw,12,1,0,0,1.0,213.0,0.0,27.0,1.0,0.0,191.0,0.71,0.71,0.67,0.0,0.67,0.0,0.71,0.0,Welterweight,Male,0.0,1.0,0.0,0.0,Striker,13,0.9230769230769231
6420efac0578988b,Yoshiki Takahashi,Kazuo,5.11,199.0,Southpaw,30,27,3,0,2.0,480.0,0.0,20.0,1.0,0.0,173.96999999999997,0.46,0.47,0.0,0.0,0.33,0.5,0.8,0.0,Lightweight,Male,1.0,0.0,0.0,1.0,Wrestler,60,0.5
6e743a33d56bdaa4,Payton Talbott,No Nickname,5.1,135.0,Switch,11,1,0,0,2.5,616.33,0.33,50.17,1.5,0.5,211.17,0.64,0.6,0.63,0.93,0.58,0.58,0.85,0.5,Bantamweight,Male,2.0,0.4,0.2,0.4,Striker,12,0.9166666666666666
49858bf46dabf6fb,Nordine Taleb,No Nickname,6.1,170.0,Orthodox,15,7,0,0,2.25,619.25,0.33,36.75,1.17,0.0,139.5,0.5,0.37,0.72,0.8,0.45,0.43,0.32,0.0,Welterweight,Male,5.0,0.38,0.0,0.62,Striker,22,0.6818181818181818
64788ee44b062ded,Michinori Tanaka,No Nickname,5.5,135.0,Orthodox,11,3,0,0,3.0,900.0,0.0,28.4,1.0,1.2,185.2,0.4,0.32,0.68,0.57,0.32,0.3,0.82,1.2,Bantamweight,Male,1.0,0.0,0.0,1.0,Wrestler,14,0.7857142857142857
8f2d9ee27f206f1f,Evan Tanner,No Nickname,6.0,185.0,Orthodox,32,8,0,0,1.71,432.88,0.06,22.82,1.24,0.88,205.4,0.58,0.48,0.69,0.74,0.49,0.72,0.43,0.88,Middleweight,Male,2.0,0.45,0.36,0.18,Wrestler,40,0.8
b96619b3acd7d9da,Miesha Tate,Cupcake,5.6,135.0,Orthodox,20,10,0,0,3.14,873.36,0.07,47.71,0.86,0.86,246.36,0.52,0.46,0.74,0.71,0.43,0.63,0.62,0.86,Women's Bantamweight,Female,5.0,0.12,0.25,0.62,Wrestler,30,0.6666666666666666
8a59d346dc976a10,Thiago Tavares,No Nickname,5.7,145.0,Orthodox,21,7,1,0,2.11,547.94,0.17,19.78,2.0,0.89,187.39,0.45,0.38,0.6,0.38,0.32,0.41,0.48,0.89,Featherweight,Male,4.0,0.33,0.33,0.33,Wrestler,29,0.7241379310344828
0c6d9ea8306c029e,Brad Tavares,No Nickname,6.1,185.0,Orthodox,21,12,0,0,2.74,776.22,0.22,47.0,0.89,0.15,151.33,0.47,0.38,0.67,0.75,0.41,0.62,0.49,0.15,Middleweight,Male,13.0,0.28,0.0,0.72,Striker,33,0.6363636363636364
9b74de674c355425,Paul Taylor,Relentless,6.0,155.0,Orthodox,11,6,1,0,2.67,743.67,0.44,55.0,0.22,0.44,97.89,0.48,0.37,0.82,0.8,0.41,0.72,0.32,0.44,Lightweight,Male,2.0,0.5,0.0,0.5,Striker,18,0.6111111111111112
b76c6268dc1d3c05,Danielle Taylor,Dynamite,5.0,115.0,Orthodox,9,4,0,0,3.0,900.0,0.0,49.6,0.8,0.0,39.4,0.32,0.25,0.49,0.68,0.31,0.43,0.2,0.0,Women's Strawweight,Female,2.0,0.0,0.0,1.0,Hybrid,13,0.6923076923076923
f5431394fb284bb9,James Te Huna,No Nickname,6.2,185.0,Orthodox,16,9,0,0,1.6,359.5,0.4,25.7,1.3,0.2,156.8,0.55,0.52,0.4,0.56,0.39,0.38,0.54,0.2,Light Heavyweight,Male,2.0,0.57,0.14,0.29,Striker,25,0.64
7ff97850e8c32bda,Glover Teixeira,No Nickname,6.2,205.0,Orthodox,33,9,0,0,2.65,691.57,0.17,47.7,1.48,0.43,163.26,0.48,0.45,0.69,0.42,0.37,0.54,0.52,0.43,Light Heavyweight,Male,5.0,0.33,0.33,0.33,Striker,42,0.7857142857142857
86061eaba822bfea,John Teixeira,Macapa,5.7,145.0,Orthodox,21,2,2,0,3.0,900.0,0.0,65.0,0.0,0.0,75.0,0.46,0.32,0.76,1.0,0.47,0.42,0.0,0.0,Featherweight,Male,1.0,0.0,0.0,1.0,Hybrid,25,0.84
1dab0d1d81dd06db,Tra Telligman,Trauma,6.2,233.0,Orthodox,7,5,1,0,1.2,363.0,0.2,14.0,0.0,0.2,11.5,0.33,0.26,0.56,0.67,0.31,0.27,0.2,0.2,Heavyweight,Male,0.0,0.0,1.0,0.0,Hybrid,13,0.5384615384615384
